rank,crap,complexity,coverage_pct,path,method
1,12.00,12,97.3,src/litectl/modules/catalog/domain/models.py,reconcile_fallback_aliases
2,11.28,11,86.8,src/litectl/modules/workspace/api/resolve.py,ensure_provider
3,10.08,10,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_apply_callbacks
4,10.05,10,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,list_models
5,10.02,10,93.9,src/litectl/modules/catalog/infrastructure/schema.py,_json_type_of
6,9.00,9,100.0,src/litectl/modules/catalog/api/prompts.py,prompt_for_recovery
7,8.36,8,82.1,src/litectl/modules/catalog/infrastructure/base.py,model_data
8,8.05,8,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_existing_chain
9,8.01,8,93.9,src/litectl/modules/catalog/infrastructure/schema.py,_widen_router_settings
10,8.00,8,97.3,src/litectl/modules/catalog/domain/models.py,select_quality_model
11,8.00,8,100.0,src/litectl/modules/catalog/infrastructure/openai_compat.py,_describe
12,7.12,7,86.6,src/litectl/modules/catalog/cli.py,reconcile_local_models
13,7.11,7,87.1,src/litectl/modules/catalog/domain/aliases.py,selected_preset
14,7.02,7,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,_completion_content
15,7.01,7,93.9,src/litectl/modules/catalog/infrastructure/schema.py,_forbid_unknown_properties
16,7.01,7,95.2,src/litectl/modules/catalog/domain/diff.py,diff_models
17,7.00,7,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,read_provider_aliases
18,6.50,6,75.9,src/litectl/serve.py,supervise
19,6.08,6,87.1,src/litectl/modules/catalog/domain/aliases.py,resolve_targets
20,6.04,6,89.7,src/litectl/modules/workspace/infrastructure/service.py,start_service
21,6.03,6,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_apply_fallbacks
22,6.02,6,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,choose_model
23,6.00,6,96.9,src/litectl/modules/catalog/pipeline.py,render_all
24,6.00,6,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,read_provider_base
25,6.00,6,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,read_environment_variables
26,6.00,6,100.0,src/litectl/modules/catalog/infrastructure/openai_compat.py,to_descriptors
27,6.00,6,100.0,src/litectl/modules/workspace/infrastructure/keys.py,config_environment_value
28,5.35,5,75.9,src/litectl/serve.py,validated_fingerprint
29,5.35,5,75.9,src/litectl/serve.py,terminate_child
30,5.35,5,75.9,src/litectl/serve.py,main
31,5.06,5,86.6,src/litectl/modules/catalog/cli.py,parse_args
32,5.05,5,87.1,src/litectl/modules/catalog/domain/aliases.py,preset_for
33,5.03,5,89.7,src/litectl/modules/workspace/infrastructure/service.py,install_service
34,5.00,5,95.2,src/litectl/modules/catalog/domain/diff.py,summary
35,5.00,5,100.0,src/litectl/app/paths.py,config_dir
36,5.00,5,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,validate_config_text
37,5.00,5,100.0,src/litectl/modules/workspace/infrastructure/filesystem.py,install
38,5.00,5,100.0,src/litectl/modules/workspace/infrastructure/process.py,run
39,4.22,4,75.9,src/litectl/serve.py,is_relevant_config_path
40,4.10,4,81.6,src/litectl/app/install.py,run
41,4.04,4,86.0,src/litectl/modules/workspace/api/verify.py,verify
42,4.04,4,86.6,src/litectl/modules/catalog/cli.py,main
43,4.04,4,86.6,src/litectl/modules/catalog/cli.py,report_results
44,4.03,4,87.1,src/litectl/modules/catalog/domain/aliases.py,check_default_available
45,4.03,4,87.1,src/litectl/modules/catalog/domain/aliases.py,Discovery
46,4.02,4,89.7,src/litectl/modules/workspace/infrastructure/service.py,_render_template
47,4.02,4,89.7,src/litectl/modules/workspace/infrastructure/service.py,stop_service
48,4.01,4,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_apply_aliases
49,4.01,4,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,wait_for_models
50,4.00,4,93.9,src/litectl/modules/catalog/infrastructure/schema.py,build_config_schema
51,4.00,4,95.2,src/litectl/modules/catalog/domain/diff.py,ModelDiff
52,4.00,4,96.6,src/litectl/modules/catalog/infrastructure/storage.py,FileStorageAdapter
53,4.00,4,96.6,src/litectl/modules/catalog/infrastructure/storage.py,write_batch
54,4.00,4,97.3,src/litectl/modules/catalog/domain/models.py,rank_local_chat_models
55,4.00,4,100.0,src/litectl/litellm_hooks.py,ensure_user_turn
56,4.00,4,100.0,src/litectl/modules/catalog/list_models.py,provider_names
57,4.00,4,100.0,src/litectl/modules/catalog/list_models.py,main
58,4.00,4,100.0,src/litectl/modules/catalog/api/discover.py,print_report
59,4.00,4,100.0,src/litectl/modules/catalog/api/discover.py,confirm
60,4.00,4,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,read_config_model_groups
61,4.00,4,100.0,src/litectl/modules/catalog/domain/serializer.py,serialize_model_entries
62,4.00,4,100.0,src/litectl/modules/workspace/infrastructure/probe.py,probe_port
63,4.00,4,100.0,src/litectl/modules/workspace/infrastructure/process.py,resolve_executable
64,3.13,3,75.9,src/litectl/serve.py,_reload_if_needed
65,3.13,3,75.9,src/litectl/serve.py,_install_stop_handlers
66,3.06,3,81.6,src/litectl/app/install.py,main
67,3.05,3,82.1,src/litectl/modules/catalog/infrastructure/base.py,is_json_object
68,3.02,3,86.0,src/litectl/modules/workspace/api/verify.py,tail
69,3.02,3,86.8,src/litectl/modules/workspace/api/resolve.py,resolve_master_key
70,3.02,3,87.1,src/litectl/modules/catalog/domain/aliases.py,cloud_target
71,3.02,3,87.1,src/litectl/modules/catalog/domain/aliases.py,candidate_for
72,3.01,3,89.7,src/litectl/modules/workspace/infrastructure/service.py,service_file
73,3.01,3,89.7,src/litectl/modules/workspace/infrastructure/service.py,service_running
74,3.01,3,89.7,src/litectl/modules/workspace/infrastructure/service.py,_require
75,3.01,3,89.7,src/litectl/modules/workspace/infrastructure/service.py,remove_service
76,3.01,3,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_set_before_default
77,3.01,3,90.7,src/litectl/modules/catalog/infrastructure/config_yaml.py,_alias_map
78,3.00,3,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,_is_json_object
79,3.00,3,92.2,src/litectl/modules/workspace/infrastructure/healthcheck.py,complete
80,3.00,3,93.8,src/litectl/app/teardown.py,main
81,3.00,3,96.9,src/litectl/modules/catalog/pipeline.py,render_provider
82,3.00,3,96.9,src/litectl/modules/catalog/pipeline.py,build_discovery
83,3.00,3,97.3,src/litectl/modules/catalog/domain/models.py,ModelDescriptor
84,3.00,3,100.0,src/litectl/app/paths.py,state_dir
85,3.00,3,100.0,src/litectl/modules/catalog/infrastructure/config.py,AppConfig
86,3.00,3,100.0,src/litectl/modules/catalog/infrastructure/config_reader.py,load_config
87,3.00,3,100.0,src/litectl/modules/catalog/infrastructure/openai_compat.py,auth_headers
88,3.00,3,100.0,src/litectl/modules/catalog/domain/urls.py,UnsupportedSchemeError
89,3.00,3,100.0,src/litectl/modules/workspace/infrastructure/keys.py,resolve_setting
90,3.00,3,100.0,src/litectl/modules/workspace/infrastructure/keys.py,client_saved_master_key
91,3.00,3,100.0,src/litectl/modules/workspace/infrastructure/probe.py,_request
92,3.00,3,100.0,src/litectl/modules/workspace/infrastructure/probe.py,find_local_server
93,3.00,3,100.0,src/litectl/modules/workspace/domain/urls.py,UnsupportedSchemeError
94,2.06,2,75.9,src/litectl/serve.py,ensure_callback_shim
95,2.06,2,75.9,src/litectl/serve.py,ChildState
96,2.02,2,81.6,src/litectl/app/install.py,cli_binary
97,2.02,2,81.6,src/litectl/app/install.py,apply_environment
98,2.02,2,82.1,src/litectl/modules/catalog/infrastructure/base.py,http_get_json
99,2.01,2,86.0,src/litectl/modules/workspace/api/verify.py,print_logs
100,2.01,2,86.6,src/litectl/modules/catalog/cli.py,build_registry
101,2.01,2,86.6,src/litectl/modules/catalog/cli.py,discover_openai_compatible
102,2.01,2,86.6,src/litectl/modules/catalog/cli.py,build_config_update
103,2.01,2,87.1,src/litectl/modules/catalog/domain/aliases.py,UnavailableDefaultError
104,2.01,2,87.1,src/litectl/modules/catalog/domain/aliases.py,discovered_aliases
105,2.00,2,89.7,src/litectl/modules/workspace/infrastructure/service.py,_manager
106,2.00,2,89.7,src/litectl/modules/workspace/infrastructure/service.py,_service_file_matches
